adresse_complete;cp_ville
1 R RAYMOND LEFEVRE;78210 ST CYR L ECOLE
21 R DU CALVAIRE;92210 ST CLOUD
58 R DU PAVE BLANC;92140 CLAMART
43 R VERDUN;91700 VILLIERS SUR ORGE
2 R DANTON;92230 GENNEVILLIERS
9 R GUSTAVE DORE;75017 PARIS
64 R DES MEUNIERS;92220 BAGNEUX
8 R LANNEAU;75005 PARIS
20 R CHAMPIONNET;75018 PARIS
200 R FAUBOURG SAINT-DENIS;75010 PARIS
1 AV DE VERDUN;94456 LIMEIL BREVANNES CEDEX
17 R JEAN LECLAIRE;95220 HERBLAY
97 AV ALBERT PREMIER;92500 RUEIL MALMAISON
14 R VESALE;75005 PARIS
78 R DU GENERAL LECLERC;94270 LE KREMLIN BICETRE
6 AV DE LA REPUBLIQUE;94290 VILLENEUVE LE ROI
194 AV HENRI BARBUSSE;91270 VIGNEUX SUR SEINE
8 R DES VIGNES;94190 VILLENEUVE ST GEORGES
1 R DE LA SOURCE;93700 DRANCY
2 AV JEAN LEBAS;93140 BONDY
ALL DES ENFANTS;77200 TORCY
56 R SAINT FARON;77100 MEAUX
24 R PASTEUR;77370 NANGIS
8 R MOZART;78200 MANTES LA JOLIE
26 BD BERCHERE;91150 ETAMPES
41 R VIOLANT;92000 NANTERRE
40 R WORTH;92151 SURESNES CEDEX
9 R CHANTEPIE MANCIER;95290 L ISLE ADAM
6 R PICOT;75116 PARIS
22 R DU PERE CORENTIN;75014 PARIS
10 R WURTZ;75013 PARIS
33 AV DE LA COUR DE FRANCE;91260 JUVISY SUR ORGE
29 AV DU GENERAL LECLERC;93120 LA COURNEUVE
12 R DU VAL D'OSNE;94410 ST MAURICE
116 BD JEAN JAURES;91100 CORBEIL ESSONNES
17 R DES PRETRES SAINT GERMAIN;75001 PARIS
9 R VICTOR HUGO;94700 MAISONS ALFORT
12 R DE CHENNEVIERES;94350 VILLIERS SUR MARNE
57 R ST LAURENT;77400 LAGNY SUR MARNE
20 AV DE LA CONCORDE;77100 MEAUX
26 BD BRUNE;75014 PARIS
71B AV DU PDT ROOSEVELT;94550 CHEVILLY LARUE
66 AV MARX DORMOY;95200 SARCELLES
5 R ERNEST PECHEUX;93460 GOURNAY SUR MARNE
20 R MARCELINE LELOUP;77176 SAVIGNY LE TEMPLE
23 R DES FRERES CAPUCINS;95310 ST OUEN L AUMONE
R MOLIERE;78000 VERSAILLES
2 R CHARLES DE GAULLE;91440 BURES SUR YVETTE
1713 AV ROGER SALENGRO;92370 CHAVILLE
165 AV FELIX FAURE;92800 PUTEAUX
11 R DE LA RÉPUBLIQUE;92190 MEUDON
23 R MARCELIN BERTHELOT;92700 COLOMBES
11 R CHARDON LAGACHE;75016 PARIS
1B R ARISTIDE BRIAND;92170 VANVES
79 R PROSPER LEGOUTE;92160 ANTONY
5 R CLAUZEL;75009 PARIS
54 R PASCAL;75013 PARIS
22 BD SEBASTOPOL;75004 PARIS
10 R RIVOLI;75004 PARIS
5 PL VICTOR HUGO;94270 LE KREMLIN BICETRE
120 QU DE JEMMAPES;75010 PARIS
65 AV DE LA REPUBLIQUE;94290 VILLENEUVE LE ROI
18 AV JOYEUSE;94340 JOINVILLE LE PONT
443 AV VICTOR HUGO;93390 CLICHY SOUS BOIS
67 AV DU PARC;94500 CHAMPIGNY SUR MARNE
3 R MARCEAU;78210 ST CYR L ECOLE
10 R DU CHAMP GAILLARD;78300 POISSY
1 R CHRISTIAN BARNARD;95520 OSNY
57 R DE GEROFOSSE;91150 ETAMPES
11 R GÉNÉRAL NIOX;75016 PARIS
24 R BAYEN;75017 PARIS
37 R DE COURCELLES;75008 PARIS
145B R D'ALÉSIA;75014 PARIS
42 BD JOURDAN;75014 PARIS
64 R RENE BINET;75018 PARIS
8 R GEORGES SAND;91260 JUVISY SUR ORGE
10 PROM DES TERRASSES;94200 IVRY SUR SEINE
4 R DE LA CHINE;75970 PARIS CEDEX 20
66 R DE COULMIERS;94130 NOGENT SUR MARNE
55 BD DU MARECHAL JOFFRE;77305 FONTAINEBLEAU CEDEX
RTE DE LIVERDY;77170 COUBERT
81 R VERGNIAUD;75013 PARIS
15 AV DE LA PORTE DE CHOISY;75013 PARIS
7 AV DES PEUPLIERS;91705 STE GENEVIEVE BOIS CEDEX
2 R HORACE DE CHOISEUL;91170 VIRY CHATILLON
15 R PERICHON;91540 MENNECY
140 R PAUL DE KOCK;93230 ROMAINVILLE
4 PL DE LA CHENAIE;94470 BOISSY ST LEGER
6 AV GENERAL DE GAULLE;91450 SOISY SUR SEINE
8 BD DE CHAMPIGNY;94100 ST MAUR DES FOSSES
